2018-04-26 18:10:57 status unpacked base-passwd:arm64 3.5.44
2018-04-26 18:10:57 status unpacked base-passwd:arm64 3.5.44
2018-04-26 18:10:57 install bash:arm64 <none> 4.4.18-2ubuntu1
2018-04-26 18:10:57 status half-installed bash:arm64 4.4.18-2ubuntu1
2018-04-26 18:10:57 status unpacked bash:arm64 4.4.18-2ubuntu1
2018-04-26 18:10:57 status unpacked bash:arm64 4.4.18-2ubuntu1
2018-04-26 18:10:57 install bsdutils:arm64 <none> 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:57 status half-installed bsdutils:arm64 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:57 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:57 status unpacked bsdutils:arm64 1:2.31.1-0.4ubuntu3
2018-04-26 18:10:57 install coreutils:arm64 <none> 8.28-1ubuntu1
2018-04-26 18:10:57 status half-installed coreutils:arm64 8.28-1ubuntu1
2018-04-26 18:10:57 status unpacked coreutils:arm64 8.28-1ubuntu1
2018-04-26 18:10:57 status unpacked coreutils:arm64 8.28-1ubuntu1
2018-04-26 18:10:57 install dash:arm64 <none> 0.5.8-2.10
2018-04-26 18:10:57 status half-installed dash:arm64 0.5.8-2.10
2018-04-26 18:10:57 status unpacked dash:arm64 0.5.8-2.10
2018-04-26 18:10:57 status unpacked dash:arm64 0.5.8-2.10
2018-04-26 18:10:57 install debconf:all <none> 1.5.66
2018-04-26 18:10:57 status half-installed debconf:all 1.5.66
2018-04-26 18:10:58 status unpacked debconf:all 1.5.66
2018-04-26 18:10:58 status unpacked debconf:all 1.5.66
2018-04-26 18:10:58 install debianutils:arm64 <none> 4.8.4
2018-04-26 18:10:58 status half-installed debianutils:arm64 4.8.4
2018-04-26 18:10:58 status unpacked debianutils:arm64 4.8.4
2018-04-26 18:10:58 status unpacked debianutils:arm64 4.8.4
2018-04-26 18:10:58 install diffutils:arm64 <none> 1:3.6-1
2018-04-26 18:10:58 status half-installed diffutils:arm64 1:3.6-1
2018-04-26 18:10:58 status unpacked diffutils:arm64 1:3.6-1
2018-04-26 18:10:58 status unpacked diffutils:arm64 1:3.6-1
2018-04-26 18:10:58 upgrade dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-04-26 18:10:58 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:58 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:58 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:58 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:58 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:58 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2018-04-26 18:10:58 install e2fsprogs:arm64 <none> 1.44.1-1
2018-04-26 18:10:58 status half-installed e2fsprogs:arm64 1.44.1-1
2018-04-26 18:10:58 status unpacked e2fsprogs:arm64 1.44.1-1
2018-04-26 18:10:58 status unpacked e2fsprogs:arm64 1.44.1-1
2018-04-26 18:10:58 install fdisk:arm64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:58 status half-installed fdisk:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:10:58 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:10:58 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:10:58 install findutils:arm64 <none> 4.6.0+git+20170828-2
2018-04-26 18:10:58 status half-installed findutils:arm64 4.6.0+git+20170828-2
2018-04-26 18:10:58 status unpacked findutils:arm64 4.6.0+git+20170828-2
2018-04-26 18:10:58 status unpacked findutils:arm64 4.6.0+git+20170828-2
2018-04-26 18:10:58 install gcc-8-base:arm64 <none> 8-20180414-1ubuntu2
2018-04-26 18:10:58 status half-installed gcc-8-base:arm64 8-20180414-1ubuntu2
2018-04-26 18:10:58 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2018-04-26 18:10:58 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2018-04-26 18:10:58 install grep:arm64 <none> 3.1-2
2018-04-26 18:10:58 status half-installed grep:arm64 3.1-2
2018-04-26 18:10:58 status unpacked grep:arm64 3.1-2
2018-04-26 18:10:58 status unpacked grep:arm64 3.1-2
2018-04-26 18:10:58 install gzip:arm64 <none> 1.6-5ubuntu1
2018-04-26 18:10:58 status half-installed gzip:arm64 1.6-5ubuntu1
2018-04-26 18:10:58 status unpacked gzip:arm64 1.6-5ubuntu1
2018-04-26 18:10:58 status unpacked gzip:arm64 1.6-5ubuntu1
2018-04-26 18:10:58 install hostname:arm64 <none> 3.20
2018-04-26 18:10:58 status half-installed hostname:arm64 3.20
2018-04-26 18:10:58 status unpacked hostname:arm64 3.20
2018-04-26 18:10:58 status unpacked hostname:arm64 3.20
2018-04-26 18:10:58 install init-system-helpers:all <none> 1.51
2018-04-26 18:10:58 status half-installed init-system-helpers:all 1.51
2018-04-26 18:10:58 status unpacked init-system-helpers:all 1.51
2018-04-26 18:10:58 status unpacked init-system-helpers:all 1.51
2018-04-26 18:10:58 install libacl1:arm64 <none> 2.2.52-3build1
2018-04-26 18:10:58 status half-installed libacl1:arm64 2.2.52-3build1
2018-04-26 18:10:58 status unpacked libacl1:arm64 2.2.52-3build1
2018-04-26 18:10:58 status unpacked libacl1:arm64 2.2.52-3build1
2018-04-26 18:10:58 install libattr1:arm64 <none> 1:2.4.47-2build1
2018-04-26 18:10:58 status half-installed libattr1:arm64 1:2.4.47-2build1
2018-04-26 18:10:58 status unpacked libattr1:arm64 1:2.4.47-2build1
2018-04-26 18:10:58 status unpacked libattr1:arm64 1:2.4.47-2build1
2018-04-26 18:10:58 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2018-04-26 18:10:58 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:10:58 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:10:58 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2018-04-26 18:10:58 install libaudit1:arm64 <none> 1:2.8.2-1ubuntu1
2018-04-26 18:10:58 status half-installed libaudit1:arm64 1:2.8.2-1ubuntu1
2018-04-26 18:10:58 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2018-04-26 18:10:58 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2018-04-26 18:10:59 install libblkid1:arm64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:10:59 status half-installed libblkid1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:10:59 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:10:59 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:10:59 install libbz2-1.0:arm64 <none> 1.0.6-8.1
2018-04-26 18:10:59 status half-installed libbz2-1.0:arm64 1.0.6-8.1
2018-04-26 18:10:59 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2018-04-26 18:10:59 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2018-04-26 18:10:59 install libc-bin:arm64 <none> 2.27-3ubuntu1
2018-04-26 18:10:59 status half-installed libc-bin:arm64 2.27-3ubuntu1
2018-04-26 18:10:59 status unpacked libc-bin:arm64 2.27-3ubuntu1
2018-04-26 18:10:59 status unpacked libc-bin:arm64 2.27-3ubuntu1
2018-04-26 18:10:59 upgrade libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2018-04-26 18:10:59 status half-configured libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:59 status unpacked libc6:arm64 2.27-3ubuntu1
2018-04-26 18:10:59 status half-installed libc6:arm64 2.27-3ubuntu1
2018-04-26 18:11:00 status half-installed libc6:arm64 2.27-3ubuntu1
2018-04-26 18:11:00 status unpacked libc6:arm64 2.27-3ubuntu1
2018-04-26 18:11:00 status unpacked libc6:arm64 2.27-3ubuntu1
2018-04-26 18:11:00 install libcap-ng0:arm64 <none> 0.7.7-3.1
2018-04-26 18:11:00 status half-installed libcap-ng0:arm64 0.7.7-3.1
2018-04-26 18:11:00 status unpacked libcap-ng0:arm64 0.7.7-3.1
2018-04-26 18:11:00 status unpacked libcap-ng0:arm64 0.7.7-3.1
2018-04-26 18:11:00 install libcom-err2:arm64 <none> 1.44.1-1
2018-04-26 18:11:00 status half-installed libcom-err2:arm64 1.44.1-1
2018-04-26 18:11:00 status unpacked libcom-err2:arm64 1.44.1-1
2018-04-26 18:11:00 status unpacked libcom-err2:arm64 1.44.1-1
2018-04-26 18:11:00 install libdb5.3:arm64 <none> 5.3.28-13.1ubuntu1
2018-04-26 18:11:00 status half-installed libdb5.3:arm64 5.3.28-13.1ubuntu1
2018-04-26 18:11:00 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2018-04-26 18:11:00 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2018-04-26 18:11:00 install libdebconfclient0:arm64 <none> 0.213ubuntu1
2018-04-26 18:11:00 status half-installed libdebconfclient0:arm64 0.213ubuntu1
2018-04-26 18:11:00 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2018-04-26 18:11:00 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2018-04-26 18:11:00 install libext2fs2:arm64 <none> 1.44.1-1
2018-04-26 18:11:00 status half-installed libext2fs2:arm64 1.44.1-1
2018-04-26 18:11:00 status unpacked libext2fs2:arm64 1.44.1-1
2018-04-26 18:11:00 status unpacked libext2fs2:arm64 1.44.1-1
2018-04-26 18:11:00 install libfdisk1:arm64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:11:00 status half-installed libfdisk1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:00 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:00 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:00 install libgcc1:arm64 <none> 1:8-20180414-1ubuntu2
2018-04-26 18:11:00 status half-installed libgcc1:arm64 1:8-20180414-1ubuntu2
2018-04-26 18:11:00 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2018-04-26 18:11:00 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2018-04-26 18:11:00 install libgcrypt20:arm64 <none> 1.8.1-4ubuntu1
2018-04-26 18:11:00 status half-installed libgcrypt20:arm64 1.8.1-4ubuntu1
2018-04-26 18:11:00 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2018-04-26 18:11:00 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2018-04-26 18:11:00 install libgpg-error0:arm64 <none> 1.27-6
2018-04-26 18:11:00 status half-installed libgpg-error0:arm64 1.27-6
2018-04-26 18:11:00 status unpacked libgpg-error0:arm64 1.27-6
2018-04-26 18:11:00 status unpacked libgpg-error0:arm64 1.27-6
2018-04-26 18:11:00 install liblz4-1:arm64 <none> 0.0~r131-2ubuntu3
2018-04-26 18:11:00 status half-installed liblz4-1:arm64 0.0~r131-2ubuntu3
2018-04-26 18:11:00 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2018-04-26 18:11:00 status unpacked liblz4-1:arm64 0.0~r131-2ubuntu3
2018-04-26 18:11:00 install liblzma5:arm64 <none> 5.2.2-1.3
2018-04-26 18:11:00 status half-installed liblzma5:arm64 5.2.2-1.3
2018-04-26 18:11:00 status unpacked liblzma5:arm64 5.2.2-1.3
2018-04-26 18:11:00 status unpacked liblzma5:arm64 5.2.2-1.3
2018-04-26 18:11:00 install libmount1:arm64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:11:00 status half-installed libmount1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:00 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:00 status unpacked libmount1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:00 install libncurses5:arm64 <none> 6.1-1ubuntu1
2018-04-26 18:11:00 status half-installed libncurses5:arm64 6.1-1ubuntu1
2018-04-26 18:11:00 status unpacked libncurses5:arm64 6.1-1ubuntu1
2018-04-26 18:11:00 status unpacked libncurses5:arm64 6.1-1ubuntu1
2018-04-26 18:11:00 install libncursesw5:arm64 <none> 6.1-1ubuntu1
2018-04-26 18:11:00 status half-installed libncursesw5:arm64 6.1-1ubuntu1
2018-04-26 18:11:00 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2018-04-26 18:11:00 status unpacked libncursesw5:arm64 6.1-1ubuntu1
2018-04-26 18:11:00 install libpam-modules:arm64 <none> 1.1.8-3.6ubuntu2
2018-04-26 18:11:00 status half-installed libpam-modules:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status unpacked libpam-modules:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 install libpam-modules-bin:arm64 <none> 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status half-installed libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status unpacked libpam-modules-bin:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 install libpam0g:arm64 <none> 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status half-installed libpam0g:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 status unpacked libpam0g:arm64 1.1.8-3.6ubuntu2
2018-04-26 18:11:01 install libpcre3:arm64 <none> 2:8.39-9
2018-04-26 18:11:01 status half-installed libpcre3:arm64 2:8.39-9
2018-04-26 18:11:01 status unpacked libpcre3:arm64 2:8.39-9
2018-04-26 18:11:01 status unpacked libpcre3:arm64 2:8.39-9
2018-04-26 18:11:01 install libprocps6:arm64 <none> 2:3.3.12-3ubuntu1
2018-04-26 18:11:01 status half-installed libprocps6:arm64 2:3.3.12-3ubuntu1
2018-04-26 18:11:01 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2018-04-26 18:11:01 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2018-04-26 18:11:01 install libselinux1:arm64 <none> 2.7-2build2
2018-04-26 18:11:01 status half-installed libselinux1:arm64 2.7-2build2
2018-04-26 18:11:01 status unpacked libselinux1:arm64 2.7-2build2
2018-04-26 18:11:01 status unpacked libselinux1:arm64 2.7-2build2
2018-04-26 18:11:01 install libsemanage-common:all <none> 2.7-2build2
2018-04-26 18:11:01 status half-installed libsemanage-common:all 2.7-2build2
2018-04-26 18:11:01 status unpacked libsemanage-common:all 2.7-2build2
2018-04-26 18:11:01 status unpacked libsemanage-common:all 2.7-2build2
2018-04-26 18:11:01 install libsemanage1:arm64 <none> 2.7-2build2
2018-04-26 18:11:01 status half-installed libsemanage1:arm64 2.7-2build2
2018-04-26 18:11:01 status unpacked libsemanage1:arm64 2.7-2build2
2018-04-26 18:11:01 status unpacked libsemanage1:arm64 2.7-2build2
2018-04-26 18:11:01 install libsepol1:arm64 <none> 2.7-1
2018-04-26 18:11:01 status half-installed libsepol1:arm64 2.7-1
2018-04-26 18:11:01 status unpacked libsepol1:arm64 2.7-1
2018-04-26 18:11:01 status unpacked libsepol1:arm64 2.7-1
2018-04-26 18:11:01 install libsmartcols1:arm64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:11:01 status half-installed libsmartcols1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:01 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:01 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:01 install libss2:arm64 <none> 1.44.1-1
2018-04-26 18:11:01 status half-installed libss2:arm64 1.44.1-1
2018-04-26 18:11:01 status unpacked libss2:arm64 1.44.1-1
2018-04-26 18:11:01 status unpacked libss2:arm64 1.44.1-1
2018-04-26 18:11:01 install libsystemd0:arm64 <none> 237-3ubuntu10
2018-04-26 18:11:01 status half-installed libsystemd0:arm64 237-3ubuntu10
2018-04-26 18:11:01 status unpacked libsystemd0:arm64 237-3ubuntu10
2018-04-26 18:11:01 status unpacked libsystemd0:arm64 237-3ubuntu10
2018-04-26 18:11:01 install libtinfo5:arm64 <none> 6.1-1ubuntu1
2018-04-26 18:11:01 status half-installed libtinfo5:arm64 6.1-1ubuntu1
2018-04-26 18:11:01 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2018-04-26 18:11:01 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2018-04-26 18:11:01 install libudev1:arm64 <none> 237-3ubuntu10
2018-04-26 18:11:01 status half-installed libudev1:arm64 237-3ubuntu10
2018-04-26 18:11:01 status unpacked libudev1:arm64 237-3ubuntu10
2018-04-26 18:11:01 status unpacked libudev1:arm64 237-3ubuntu10
2018-04-26 18:11:01 install libuuid1:arm64 <none> 2.31.1-0.4ubuntu3
2018-04-26 18:11:01 status half-installed libuuid1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:01 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:01 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2018-04-26 18:11:01 install libzstd1:arm64 <none> 1.3.3+dfsg-2ubuntu1
2018-04-26 18:11:01 status half-installed libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2018-04-26 18:11:01 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2018-04-26 18:11:01 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2018-04-26 18:11:01 install login:arm64 <none> 1:4.5-1ubuntu1
2018-04-26 18:11:01 status half-installed login:arm64 1:4.5-1ubuntu1
2018-04-26 18:11:01 status unpacked login:arm64 1:4.5-1ubuntu1
2018-04-26 18:11:01 status unpacked login:arm64 1:4.5-1ubuntu1
2018-04-26 18:11:01 install lsb-base:all <none> 9.20170808ubuntu1
2018-04-26 18:11:01 status half-installed lsb-base:all 9.20170808ubuntu1
2018-04-26 18:11:02 status unpacked lsb-base:all 9.20170808ubuntu1
2018-04-26 18:11:02 status unpacked lsb-base:all 9.20170808ubuntu1
